Data,Rainfall (mm/day),PET_PTaylor (mm/day),Flow (mm/day)
25/06/1995,33.6,1.5900,5.6938
26/06/1995,0,1.5282,2.4887
27/06/1995,0,1.8458,2.0387
28/06/1995,14,2.1459,1.8734
29/06/1995,0,1.5810,2.8469
30/06/1995,0,1.4016,2.3051
01/07/1995,0,1.9545,1.6806
02/07/1995,0,1.8288,1.7540
03/07/1995,11.9,1.9704,1.5979
04/07/1995,0,1.8225,2.3510
05/07/1995,0,2.0092,2.2224
06/07/1995,0,2.0648,1.7173
07/07/1995,77.3,1.7926,4.5366
08/07/1995,0.1,1.3554,4.9591
09/07/1995,0,1.1516,2.1306
10/07/1995,0,1.7213,2.0387
11/07/1995,0,1.9925,2.2591
12/07/1995,0,2.0191,2.3051
13/07/1995,0,2.1285,2.2224
14/07/1995,0,2.1975,1.9928
15/07/1995,3.3,2.2398,1.9102
16/07/1995,3.2,2.3884,2.2591
17/07/1995,0,1.5908,2.1765
18/07/1995,2.7,2.0592,1.9561
19/07/1995,6.9,1.8214,1.9561
20/07/1995,2.9,1.4312,1.6806
21/07/1995,8.2,1.5410,1.5612
22/07/1995,0,1.8637,1.4969
23/07/1995,0,1.9175,1.3959
24/07/1995,0,2.1634,0.9459
25/07/1995,0,1.9970,0.8495
26/07/1995,0,2.3821,0.7503
27/07/1995,0,2.3890,0.6539
28/07/1995,0,2.3977,0.6061
29/07/1995,0,2.5492,0.6061
30/07/1995,0,2.7638,0.6061
31/07/1995,0,2.8780,0.6061
01/08/1995,0,2.7202,0.6061
02/08/1995,0,2.3953,0.6061
03/08/1995,11,2.2376,0.7255
04/08/1995,17.5,1.8716,0.8991
05/08/1995,2.5,1.3840,1.1479
06/08/1995,0,1.2696,1.1755
07/08/1995,0,1.9150,1.0286
08/08/1995,0,2.3057,0.8495
09/08/1995,0,2.6058,0.8247
10/08/1995,0,2.8234,0.8495
11/08/1995,0,2.4926,0.7999
12/08/1995,0,2.5533,0.7751
13/08/1995,0,2.8604,0.8991
14/08/1995,0,2.9773,1.0837
15/08/1995,0,2.8705,1.3224
16/08/1995,0,1.5813,1.3592
17/08/1995,0,1.4149,1.2949
18/08/1995,0,2.9208,1.3959
19/08/1995,7.2,2.2085,1.5336
20/08/1995,0,1.8568,1.5336
21/08/1995,0,1.8376,1.5336
22/08/1995,0,2.8532,1.5336
23/08/1995,0,3.2888,1.5336
24/08/1995,0,3.4262,1.5336
25/08/1995,0,3.1591,1.4326
26/08/1995,0,3.3137,1.3592
27/08/1995,0,3.5138,1.2949
28/08/1995,0,3.5062,1.4326
29/08/1995,0,3.3950,1.4326
30/08/1995,0,3.4720,1.3592
31/08/1995,0,3.5541,1.3592
